course_id,title,competency_id,competency_name,domain,difficulty,duration_hours,course_type,igot_course_id,provider,rating,enrolled_count,created_date
1,Introduction to Statistical Methods,1,Statistical Methods,Statistics,beginner,6.9,interactive,IGOT-01-001,iGOT Karmayogi,5.0,1020,2025-09-22
2,Inferential Statistics & Hypothesis Testing,1,Statistical Methods,Statistics,intermediate,6.6,document,IGOT-01-002,IGNOU,4.1,3676,2026-02-02
3,Advanced Regression Analysis,1,Statistical Methods,Statistics,advanced,7.2,quiz,IGOT-01-003,NIC,4.4,543,2025-08-26
4,Fundamentals of Survey Design,2,Survey Design,Statistics,beginner,7.8,video,IGOT-02-004,NSSTA,4.4,2217,2025-07-31
5,Sampling & Questionnaire Design,2,Survey Design,Statistics,intermediate,2.5,document,IGOT-02-005,NSSTA,4.3,1332,2026-07-03
6,Advanced Survey Methodology,2,Survey Design,Statistics,advanced,4.5,quiz,IGOT-02-006,NIC,3.5,2410,2025-07-08
7,Probability Sampling Basics,3,Sampling Techniques,Statistics,beginner,3.7,quiz,IGOT-03-007,iGOT Karmayogi,4.5,2217,2025-05-27
8,Stratified & Cluster Sampling,3,Sampling Techniques,Statistics,intermediate,6.7,document,IGOT-03-008,LBSNAA,3.7,1891,2025-08-07
9,Advanced Sampling Theory,3,Sampling Techniques,Statistics,advanced,2.9,interactive,IGOT-03-009,NSSTA,3.6,1409,2025-05-25
10,Introduction to Data Analysis,4,Data Analysis,Statistics,beginner,3.8,interactive,IGOT-04-010,LBSNAA,3.7,2541,2025-07-11
11,Intermediate Data Analysis with Python,4,Data Analysis,Statistics,intermediate,4.4,interactive,IGOT-04-011,IGNOU,4.3,3636,2026-05-24
12,Advanced Data Analytics,4,Data Analysis,Statistics,advanced,5.6,quiz,IGOT-04-012,NIC,4.4,261,2026-05-19
13,National Accounts Basics,5,National Accounts,Statistics,beginner,3.4,video,IGOT-05-013,NIC,4.4,1485,2025-11-06
14,GDP Compilation Methodology,5,National Accounts,Statistics,intermediate,5.1,quiz,IGOT-05-014,NIC,3.8,4845,2025-11-23
15,Advanced National Accounts,5,National Accounts,Statistics,advanced,5.8,quiz,IGOT-05-015,iGOT Karmayogi,4.2,3395,2026-01-15
16,CPI & WPI Fundamentals,6,Price Statistics,Statistics,beginner,3.9,video,IGOT-06-016,NSSTA,4.0,4108,2026-02-07
17,Price Index Methods,6,Price Statistics,Statistics,intermediate,6.0,quiz,IGOT-06-017,IGNOU,3.6,771,2026-01-24
18,Advanced Price Statistics,6,Price Statistics,Statistics,advanced,3.5,video,IGOT-06-018,LBSNAA,4.8,59,2025-08-02
19,Labour Force Survey Basics,7,Labour Statistics,Statistics,beginner,7.2,quiz,IGOT-07-019,LBSNAA,3.6,4297,2025-12-31
20,Employment & Unemployment Indicators,7,Labour Statistics,Statistics,intermediate,5.7,quiz,IGOT-07-020,LBSNAA,4.6,1717,2026-02-18
21,Advanced Labour Economics,7,Labour Statistics,Statistics,advanced,5.3,interactive,IGOT-07-021,LBSNAA,4.8,4020,2026-05-03
22,Introduction to SDG Framework,8,SDG Indicators,Statistics,beginner,2.2,document,IGOT-08-022,NSSTA,4.0,162,2025-09-25
23,SDG Indicator Compilation,8,SDG Indicators,Statistics,intermediate,4.4,document,IGOT-08-023,iGOT Karmayogi,4.2,1012,2025-08-07
24,Monitoring SDG Progress,8,SDG Indicators,Statistics,advanced,7.0,quiz,IGOT-08-024,NIC,4.3,2289,2025-12-04
25,Python for Beginners,9,Python Programming,Technical,beginner,7.0,quiz,IGOT-09-025,NSSTA,4.2,1234,2025-12-20
26,Python for Data Analysis,9,Python Programming,Technical,intermediate,3.1,document,IGOT-09-026,iGOT Karmayogi,3.9,3449,2026-01-11
27,Advanced Python & ML,9,Python Programming,Technical,advanced,7.6,interactive,IGOT-09-027,iGOT Karmayogi,3.9,2495,2025-05-02
28,Introduction to R,10,R Programming,Technical,beginner,5.5,quiz,IGOT-10-028,NSSTA,4.2,4017,2026-01-09
29,Statistical Analysis with R,10,R Programming,Technical,intermediate,4.0,quiz,IGOT-10-029,LBSNAA,4.9,1595,2025-07-12
30,Advanced R & Visualization,10,R Programming,Technical,advanced,3.4,quiz,IGOT-10-030,NSSTA,4.8,3415,2026-06-12
