programme_id,title,category,target_audience,duration_days,mode,venue,competency_domain,difficulty,source_url,financial_year,description
NSSTA-EXTRACTED-001,Survey Methodology and Data Analysis,In-service / Technical Training,ISS Probationers / In-service ISS Officers,5,Residential,NSSTA Greater Noida,Survey Design & Sampling,intermediate,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: Survey Methodology and Data Analysis. Domain: Survey Design & Sampling. Target: ISS Probationers / In-service ISS Officers. Duration: 5 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-002,National Accounts Statistics,In-service / Technical Training,ISS / SSS Officers,5,Residential,NSSTA Greater Noida,National Accounts Statistics,intermediate,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: National Accounts Statistics. Domain: National Accounts Statistics. Target: ISS / SSS Officers. Duration: 5 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-003,Derived Statistics and Official Statistics Methodology,In-service / Technical Training,ISS Officers,4,Residential,NSSTA Greater Noida,National Accounts Statistics,advanced,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: Derived Statistics and Official Statistics Methodology. Domain: National Accounts Statistics. Target: ISS Officers. Duration: 4 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-004,Price Statistics and Index Numbers,In-service / Technical Training,ISS / SSS Officers,4,Residential,NSSTA Greater Noida,Price & Index Statistics,intermediate,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: Price Statistics and Index Numbers. Domain: Price & Index Statistics. Target: ISS / SSS Officers. Duration: 4 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-005,Machine Learning using Python (IIT Madras),In-service / Technical Training,ISS / SSS Officers,60,Online,Online (IIT Madras + NSSTA),Python & R for Statistics,advanced,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: Machine Learning using Python (IIT Madras). Domain: Python & R for Statistics. Target: ISS / SSS Officers. Duration: 60 hours (online). Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-006,Data Analysis using R,In-service / Technical Training,ISS / SSS Officers,5,Residential,NSSTA Greater Noida,Python & R for Statistics,intermediate,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: Data Analysis using R. Domain: Python & R for Statistics. Target: ISS / SSS Officers. Duration: 5 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-007,GIS and Remote Sensing for Statistical Applications,In-service / Technical Training,ISS / State Officers,5,Residential,NSSTA Greater Noida,GIS & Geospatial Analysis,intermediate,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: GIS and Remote Sensing for Statistical Applications. Domain: GIS & Geospatial Analysis. Target: ISS / State Officers. Duration: 5 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-008,Data Visualization and Dashboard Development,In-service / Technical Training,All Statistical Officers,4,Residential,NSSTA Greater Noida,GIS & Geospatial Analysis,beginner,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: Data Visualization and Dashboard Development. Domain: GIS & Geospatial Analysis. Target: All Statistical Officers. Duration: 4 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-009,Big Data Analytics for Official Statistics,In-service / Technical Training,ISS Officers,3,Residential,NSSTA Greater Noida,Python & R for Statistics,advanced,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: Big Data Analytics for Official Statistics. Domain: Python & R for Statistics. Target: ISS Officers. Duration: 3 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-010,SDG Indicators and Data Quality Frameworks,In-service / Technical Training,All Statistical Officers,3,Residential,NSSTA Greater Noida,SDG & Metadata Standards,intermediate,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: SDG Indicators and Data Quality Frameworks. Domain: SDG & Metadata Standards. Target: All Statistical Officers. Duration: 3 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-011,Cybersecurity and Data Privacy,In-service / Technical Training,All Government Officers,3,Residential,NSSTA Greater Noida,Data Privacy & Cybersecurity,beginner,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: Cybersecurity and Data Privacy. Domain: Data Privacy & Cybersecurity. Target: All Government Officers. Duration: 3 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-012,Econometrics and Time Series Analysis,In-service / Technical Training,ISS Officers,5,Residential,NSSTA Greater Noida,Statistical Methods,advanced,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: Econometrics and Time Series Analysis. Domain: Statistical Methods. Target: ISS Officers. Duration: 5 days. Source: mospi.gov.in / nssta.gov.in
